yogurt,sausage,whole milk,semi-finished bread
salty snack,pastry,whole milk
misc. beverages,canned beer
hygiene articles,sausage
pickled vegetables,soda
frankfurter,curd
rolls/buns,sausage,whole milk
soda,whole milk
beef,white bread
whipped/sour cream,frankfurter,soda
frozen vegetables,other vegetables
butter,whole milk
sugar,tropical fruit
specialty chocolate,butter milk
rolls/buns,sausage
root vegetables,detergent
frozen meals,dental care
rolls/buns
dish cleaner,cling film/bags
frozen fish,canned beer
hygiene articles,other vegetables
pip fruit,whole milk,tropical fruit
rolls/buns,red/blush wine,chocolate
other vegetables,shopping bags
rolls/buns,chocolate,whole milk,packaged fruit/vegetables
root vegetables,pastry,whole milk
rolls/buns
whipped/sour cream,margarine
softener,bottled water,rolls/buns
whole milk,rice
skin care,shopping bags
rolls/buns,chocolate,chicken,whole milk,flour,bottled beer,frankfurter
liquor (appetizer),hamburger meat,dessert,liver loaf
domestic eggs,soda,photo/film,tropical fruit,white wine,root vegetables,yogurt
herbs,newspapers,yogurt
yogurt,tropical fruit
pastry,ketchup
canned fish,cocoa drinks
uht-milk,pip fruit,coffee
sliced cheese,kitchen towels
specialty bar,bottled water
bottled water,frankfurter
rolls/buns,pip fruit,candles
pastry,curd cheese
whole milk,grapes,other vegetables,herbs,yogurt,frankfurter,candles
rolls/buns,citrus fruit,bottled water,candy
yogurt,frankfurter
rolls/buns,shopping bags,tropical fruit,onions,root vegetables
brown bread,frozen vegetables
processed cheese,whole milk
frozen meals,whole milk
domestic eggs,roll products,white bread,meat
root vegetables,mayonnaise
mustard,other vegetables
hard cheese,bottled water,napkins
candy,whole milk
frozen vegetables,tropical fruit
mustard,whipped/sour cream
bottled beer,yogurt,sausage,whole milk
cookware,canned beer
hamburger meat,butter milk
rolls/buns,whole milk
citrus fruit,whole milk
beef,salty snack
rolls/buns,chocolate,fruit/vegetable juice
uht-milk,bottled beer
chicken,red/blush wine
soft cheese,pip fruit
rolls/buns,oil,pip fruit,mayonnaise,frankfurter
brown bread,pet care
rolls/buns,other vegetables
beef,yogurt
root vegetables,other vegetables
dessert,soda,shopping bags
curd,long life bakery product
beverages,domestic eggs
root vegetables,butter milk
berries,cake bar
red/blush wine,hamburger meat
shopping bags,canned beer
rolls/buns,spices,frozen fish,canned beer
butter,newspapers,frozen meals,yogurt
rolls/buns,baking powder
liquor,yogurt,curd,tropical fruit
butter,sliced cheese
sausage,fruit/vegetable juice
beef,napkins
whipped/sour cream,whole milk
whipped/sour cream,rolls/buns,root vegetables,packaged fruit/vegetables
domestic eggs,soda
chicken,frozen meals
male cosmetics,curd
bottled beer,yogurt,white bread,berries
whipped/sour cream,sausage,specialty bar
fish,root vegetables,other vegetables,tropical fruit
coffee,shopping bags
cream cheese,ham
uht-milk,canned beer
dessert,pickled vegetables,sausage,rolls/buns
